,Switzerland_0,Switzerland_1,Switzerland_2,Switzerland_3,Switzerland_4,Switzerland_5,Switzerland_6,Switzerland_7,Switzerland_8,Switzerland_9,Switzerland_10
Argentina_0,14.204831035272193,14.238633536206155,7.1362582376007015,2.384413340612037,0.5975218513953505,0.11978874864146949,0.020012300620722272,0.002865703265190935,0.00035906532885927113,3.999108644790048e-05,4.00862511657101e-06
Argentina_1,13.4833454149577,13.515431033917217,6.773796502681438,2.2633052518311234,0.5671727805380513,0.11370449044750137,0.018995844522694125,0.002720149707194395,0.00034082783832649517,3.7959876520709604e-05,3.8050207673425037e-06
Argentina_2,6.3992525897573,6.414480559812332,3.2148723835396233,1.0741742162983106,0.26918259326588345,0.05396463062913306,0.009015507911087562,0.00129099452120992,0.00016175832925355998,1.8015917463817357e-05,1.8058789009799469e-06
Argentina_3,2.024741508739974,2.029559681273689,1.0171946596815564,0.33987174171537243,0.08517012922541543,0.017074560834419304,0.002852532047128478,0.0004084742957065789,5.118079010482256e-05,5.7002869312286155e-06,5.713851608896248e-07
Argentina_4,0.48047542893248746,0.48161879143323844,0.24138243736726647,0.08065228088515314,0.02021105123551466,0.004051829285535256,0.0006769118689825491,9.693181158697675e-05,1.2145309400023925e-05,1.3526901071064356e-06,1.3559090337163531e-07
Argentina_5,0.09121426584533182,0.09143132371098127,0.045824449048997525,0.015311165039252046,0.0038369000564832116,0.0007692061057770444,0.00012850609095332204,1.840169860633281e-05,2.3056860219656567e-06,2.5679697151234307e-07,2.5740805796932582e-08
Argentina_6,0.014430225065806528,0.014464563925244768,0.007249492249544429,0.0024222478302983893,0.0006070029820109781,0.00012168948711571967,2.032984421458614e-05,2.911174584607049e-06,3.6476276950434224e-07,4.0625641842298136e-08,4.072231657872456e-09
Argentina_7,0.001956755904228404,0.0019614122949391396,0.0009830398831108783,0.0003284597240740197,8.23103356682014e-05,1.6501241062445067e-05,2.7567513685699877e-06,3.9475878100943054e-07,4.946227100515659e-08,5.508885978941057e-09,5.521995189672661e-10
Argentina_8,0.00023217115082147029,0.00023272363648800122,0.00011663871843803339,3.897209251904031e-05,9.76620809743942e-06,1.957889647437181e-06,3.270914560096548e-07,4.68385455159675e-08,5.868750597197738e-09,6.536351287920858e-10,6.551905504649377e-11
Argentina_9,2.4486534930271105e-05,2.454480426961028e-05,1.230160613473964e-05,4.110293209973565e-06,1.0300185654768785e-06,2.06493929465216e-07,3.4497552062928286e-08,4.939949157342805e-09,6.189630623222225e-10,6.893733074152276e-11,6.910137733813403e-12
Argentina_10,2.3242825462720894e-06,2.3298135211035434e-06,1.1676788288547138e-06,3.901524979016891e-07,9.777023090002462e-08,1.960057793125357e-08,3.274536735283565e-09,4.689041401153558e-10,5.875249587740413e-11,6.543589572203047e-12,6.559161013501898e-13
