,Morocco_0,Morocco_1,Morocco_2,Morocco_3,Morocco_4,Morocco_5,Morocco_6,Morocco_7,Morocco_8,Morocco_9,Morocco_10
France_0,12.334642017572541,8.196516482698916,2.7233413971578155,0.6032309279296318,0.10021353348976328,0.013318617238637889,0.001475063288794407,0.00014002815974255818,1.1631297423718733e-05,8.587928473036752e-07,5.7067807222295075e-08
France_1,17.6169141653843,11.706649218124763,3.8896038951448095,0.8615626999228352,0.14312966806688615,0.019022273719855157,0.0021067545624898973,0.00019999478439722466,1.6612364432935062e-05,1.2265682178080976e-06,8.15069184828864e-08
France_2,12.580651480130916,8.35999269967278,2.777657343459565,0.6152621256058303,0.10221225201598962,0.013584251690309057,0.0015044828314450102,0.00014282096493886855,1.1863278961893017e-05,8.759211244367419e-07,5.820600163151594e-08
France_3,5.989425472160252,3.9800445391539325,1.3223934922706062,0.29291540688325884,0.048661443865469896,0.006467221766906966,0.0007162576443132461,6.799453324928002e-05,5.6478971148611344e-06,4.1701054214801907e-07,2.771084703800847e-08
France_4,2.1385945837076443,1.4211215639819634,0.4721760999023059,0.1045888801115877,0.017375139029579212,0.0023091973523388662,0.00025574818916897284,2.4278245251491953e-05,2.0166478797211893e-06,1.4889850302538008e-07,9.894482811564454e-09
France_5,0.6108882148676718,0.40594249230062346,0.13487680973755384,0.02987574865901329,0.00496319767464083,0.0006596207897907442,7.305431142830918e-05,6.935065680420219e-06,5.760542145972091e-07,4.2532764930109706e-08,2.8263528711067623e-09
France_6,0.1454165327029973,0.09663101737845256,0.0321062307910548,0.007111657544156434,0.0011814452782039461,0.00015701689084141268,1.7389932246787323e-05,1.6508310043805848e-06,1.3712460724720305e-07,1.0124548242836798e-08,6.727882854975942e-10
France_7,0.029670101621188397,0.019716135793398776,0.006550803492127885,0.0014510289724839747,0.00024105650721145103,3.2036983834725516e-05,3.5481595342503035e-06,3.368277509368154e-07,2.797825636579906e-08,2.0657649419212186e-09,1.3727253998710754e-10
France_8,0.005297028815206465,0.0035199387166094196,0.0011695205936125374,0.0002590534531050651,4.303602599999918e-05,5.719590336814212e-06,6.334559798221754e-07,6.013414868789501e-08,4.9949822235538186e-09,3.688027955720134e-10,2.4507384879633124e-11
France_9,0.0008406072176964426,0.0005585935048223256,0.00018559601741509647,4.1110254455132086e-05,6.829563390842343e-06,9.076652378387056e-07,1.0052572627183975e-07,9.542934573427523e-09,7.926742058361081e-10,5.852682752536174e-11,3.889177373840901e-12
France_10,0.00012005946487837456,7.978094389587106e-05,2.6507693564035727e-05,5.871559328770037e-06,9.75430270875414e-07,1.2963700578522734e-07,1.4357555643860037e-08,1.3629666675890795e-09,1.1321344734151506e-10,8.35907597008204e-12,5.554705509191071e-13
